pid,gtin,gln,targetMarketCountryCode,isDeleted,last_modified_date
31951,0000000005241,0068781000251,CA,0         ,2015-03-23 11:04:20.8200000
32254,0000001234565,0061925000018,,0         ,2015-07-07 10:40:10.7670000
31756,0000001234565,0068781000251,,0         ,2015-03-04 15:54:20.4500000
32255,0000012374854,0058149000016,,0         ,2015-07-07 10:52:19.7970000
31757,0000012374854,0068781000251,,0         ,2015-03-04 16:23:18.5900000
24793,00008295661036,0059531000010,CA,0         ,2014-02-28 17:45:42.9900000
24794,00008295816351,0008274656565,CA,0         ,2014-02-28 17:45:43.0500000
31716,00008986328354,0068781000253,CA,0         ,2014-10-06 16:15:52.3470000
31715,00008986328361,0068781000252,CA,0         ,2014-10-06 15:30:09.3300000
11040,00010300333074,0010300001010,CA,0         ,2014-02-28 16:49:41.8330000
11041,00010300533276,0010300001010,CA,0         ,2014-02-28 16:49:41.9030000
11042,00010300866077,0010300001010,CA,0         ,2014-02-28 16:49:41.9730000
26152,00011152030234,0061414000017,CA,0         ,2014-02-28 17:51:43.8130000
26153,00011152030388,0061414000017,CA,0         ,2014-02-28 17:51:43.8570000
26154,00011152030418,0061414000017,CA,0         ,2014-02-28 17:51:43.9030000
26155,00011152033624,0061414000017,CA,0         ,2014-02-28 17:51:43.9600000
26156,00011152096452,0061414000017,CA,0         ,2014-02-28 17:51:44.0200000
26157,00011152223131,0061414000017,CA,0         ,2014-02-28 17:51:44.0830000
26158,00011152223162,0061414000017,CA,0         ,2014-02-28 17:51:44.1470000
26159,00011152225753,0061414000017,CA,0         ,2014-02-28 17:51:44.2070000
26160,00011152254999,0061414000017,CA,0         ,2014-02-28 17:51:44.2600000
26161,00011152263373,0061414000017,CA,0         ,2014-02-28 17:51:44.3200000
26162,00011152288154,0061414000017,CA,0         ,2014-02-28 17:51:44.3830000
26163,00011152453828,0061414000017,US,0         ,2014-02-28 17:51:44.4630000
26164,00011152453880,0061414000017,CA,0         ,2014-02-28 17:51:44.5330000
26165,00011152453910,0061414000017,CA,0         ,2014-02-28 17:51:44.6000000
26166,00011152455266,0061414000017,CA,0         ,2014-02-28 17:51:44.6600000
26167,00011152455297,0061414000017,CA,0         ,2014-02-28 17:51:44.7200000
26168,00011152687094,0061414000017,CA,0         ,2014-02-28 17:51:44.7800000
26169,00011152851747,0061414000017,CA,0         ,2014-02-28 17:51:44.8500000
6851,00011204810470,0069380000017,CA,0         ,2014-02-28 16:34:58.1770000
15709,00011210000032,0627928000013,CA,0         ,2014-02-28 17:07:37.8330000
15710,00011210000155,0627928000013,CA,0         ,2014-02-28 17:07:37.8730000
15711,00011210135802,0627928000013,CA,0         ,2014-02-28 17:07:37.9300000
15712,00011210545700,0627928000013,CA,0         ,2014-02-28 17:07:37.9770000
15713,00011210625051,0627928000013,CA,0         ,2014-02-28 17:07:38.0270000
15727,00011210652279,0627928000013,CA,0         ,2014-02-28 17:07:38.7830000
16412,00011368002346,0058562000013,CA,0         ,2014-02-28 17:10:26.7500000
16413,00011368016152,0058562000013,CA,0         ,2014-02-28 17:10:26.8270000
13478,00011732007601,0058997000015,CA,0         ,2014-02-28 16:58:52.2330000
