version_id,gtin,pid,version,productName_en,productName_fr,currentStatus,memberCode,modifiedDateTime,rejectedStatus,brandName_en,brandName_fr,brandURL_en,ca_brandOwnerVersionCode_en,classificationCategoryCode_en,retailerCategoryCode,countryOfOrigin_en,gpcCode_en,nameOfBrandOwner_en,initialContentReceivedDate_en,manufacturer_en,packageSize_en,productURL_en,productImageThumbnailURL_en,productImageURL_en,last_modified_date,discontinuedDate,archiveDate,loadingOption,imageLocation,productURL_fr,last_modified_by,isDiscontinued,IsClaimSaved,isBovEmptyOnLoading,isDeleted,lastExportDate,certificationService,locationId,productType,gtinType,barCodeSymbology,size,sizeUOM,totalUnits_RetailPack,versionReason,delegateToTpId,LastETLValidatedDate,brandDistributionType
1,00031290035359,1,635292006138361338,GODIVA CHOCOLATIER CHOCOLATE DARK ALMONDS BAR,GODIVA CHOCOLATIER CHOCOLAT NOIR AMANDES BARRE,certified,,2013-04-05T21:12:26Z,0,GODIVA CHOCOLATIER,GODIVA CHOCOLATIER,,TEST BRAND OWNER VERSION CODE,,101402,,10000045,Chocolate factory,2009-12-17,,20 x 100 g,,,,636123208880419385,NULL,2016-10-17 00:00:00.0000000,7540000000707,00031290035359\1,,EE87EA3E-5329-410B-85C8-2B6948CCBA57,0,1,1,0,636592339409361107,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,00031290035410,2,635292006140561464,GODIVA CHOCOLATE DARK 72% CACAO,GODIVA CHOCOLAT NOIR 72% CACAO,verified,,2013-09-25T14:04:29Z,0,GODIVA,GODIVA,,,,101402,,10000045,Cargill Limited,2011-12-09,,100 G,,,,636578281806173921,NULL,NULL,7540000000707,00031290035410\2,,6952C01A-9A65-4B17-86C6-EEA7D1E07EAC,0,0,1,0,636592303014889462,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,00031290035434,3,635292006141101495,GODIVA CHOCOLATIER CHOCOLATE MILK BAR,GODIVA CHOCOLATIER CHOCOLAT LAIT BARRE,verified,,2013-04-05T21:11:50Z,0,GODIVA CHOCOLATIER,GODIVA CHOCOLATIER,,,,101402,,10000045,GODIVA CHOCOLATIER,2009-12-17,,100 g,,,,635292006141101495,NULL,NULL,7540000000707,00031290035434\3,,NULL,0,0,1,0,636592286121653225,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,00031290037087,4,635292006141821536,GODIVA GEMS CHOCOLATE MILK TRUFFLES,GODIVA GEMS CHOCOLAT AU LAIT TRUFFES,verified,,2013-02-27T16:18:02Z,0,GODIVA GEMS,GODIVA GEMS,,,,101404,,10000045,Godiva Chocolatier,2010-04-05,,130 g,,,,635292006141821536,NULL,NULL,7540000000707,00031290037087\4,,NULL,0,0,1,0,636592286122153253,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,00031290037094,5,635292006142341566,GODIVA CHOCOLATE GEMS DARK TRUFFLES,GODIVA CHOCOLAT GEMS NOIR TRUFFES,verified,,2013-02-27T16:15:33Z,0,GODIVA,GODIVA,,,,101404,,10000045,Godiva Chocolatier,2010-04-30,,130 g,,,,635292006142341566,NULL,NULL,7540000000707,00031290037094\5,,NULL,0,0,1,0,636592286122213257,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,00031290037100,6,635292006142931600,GODIVA CHOCOLATIER GEMS MILK CHOCOLATE CARAMELS,GODIVA CHOCOLATIER GEMS CHOCOLAT AU LAIT CARAMELS,verified,,2013-04-05T21:12:58Z,0,GODIVA CHOCOLATIER GEMS,GODIVA CHOCOLATIER GEMS,,,,101203,,10000045,GODIVA CHOCOLATIER,2010-05-04,,102 g,,,,635292006142931600,NULL,NULL,7540000000707,00031290037100\6,,NULL,0,0,1,0,636592286122613280,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,00031290037117,7,635292006143471631,GODIVA CHOCOLATIER GEMS DARK CHOCOLATE CARAMELS,GODIVA CHOCOLATIER GEMS CHOCOLAT NOIR CARAMELS,verified,,2013-02-27T16:16:53Z,0,GODIVA CHOCOLATIER GEMS,GODIVA CHOCOLATIER GEMS,,,,101403,,10000045,Godiva Chocolatier,2011-11-09,,102 g,,,,635292006143471631,NULL,NULL,7540000000707,00031290037117\7,,NULL,0,0,1,0,636592286122693284,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,00033776011697,8,635292006150452030,EARTH BALANCE SPREAD BUTTERY FLAVOUR SOY FREE,EARTH BALANCE TARTINADE GOUT BEURRE SANS SOYA,verified,,2013-05-06T13:39:52Z,0,EARTH BALANCE,EARTH BALANCE,,,,200301,,10000168,Olivos del Sur S.A.,2013-04-11,,425 G,,,,635379107240962352,NULL,NULL,7540000000707,00033776011697\8,,6952C01A-9A65-4B17-86C6-EEA7D1E07EAC,0,0,1,0,636592354654053054,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,00033776011727,9,635292006151192072,EARTH BALANCE SPREAD BUTTERY ORIGINAL,EARTH BALANCE TARTINADE BEURRE ORIGINALE,verified,,2013-02-25T15:17:31Z,0,EARTH BALANCE,EARTH BALANCE,,,,200301,,10005227,GS1 Canada,2011-06-20,,425 g,,,,635379110671398562,NULL,NULL,7540000000707,00033776011727\9,,6952C01A-9A65-4B17-86C6-EEA7D1E07EAC,0,0,1,0,636592338752613543,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,00033776011840,10,635292006151732103,EARTH BALANCE SPREAD BUTTERY ORGANIC WHIPPED,EARTH BALANCE TARTINADE BEURRE BIOLOGIQUE FOUETTE,verified,,2013-02-25T15:22:32Z,0,EARTH BALANCE,EARTH BALANCE,,,,200301,,10005227,Chocolate factory,2011-06-20,,369 g,,,,636337344800588604,NULL,NULL,7540000000707,00033776011840\10,,E5870644-7FB2-45FD-9538-06CACE4455B0,0,1,1,0,636592339409481114,NULL,NULL,EA,NULL,NULL,NULL,NULL,NULL,NULL,981,NULL,NULL
